term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,max_pos_group,stop,dfidf,stem_porter,stem_snowball,stem_lancaster,df,idf,mean_tfidf
112,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,112,112,112,2,6.569855608330948,0.00037082649965937826
113,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,113,113,113,2,6.569855608330948,0.00022175670548900026
114,3,3,2.7542670482244616e-06,18.4699001222438,NNP,2,"{'CD', 'NNP'}",NN,0,17.954679322829374,114,114,114,3,5.984893107609792,0.0003255392827088657
115,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,115,115,115,2,6.569855608330948,0.00022175670548900026
116,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,116,116,116,2,6.569855608330948,0.00022175670548900026
117,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,117,117,117,2,6.569855608330948,0.00022175670548900026
118,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,118,118,118,2,6.569855608330948,0.00022175670548900026
119,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,119,119,119,1,7.569855608330948,0.00019247026718359895
12,5,2,4.590445080374103e-06,17.732934528077596,CD,1,{'CD'},CD,0,22.27942243332379,12,12,12,4,5.569855608330948,0.0004370151304037538
120,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,120,120,120,1,7.569855608330948,0.00019247026718359895
121,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,121,121,121,1,7.569855608330948,0.00019247026718359895
122,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,122,122,122,2,6.569855608330948,0.00022175670548900026
123,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,123,123,123,2,6.569855608330948,0.00022175670548900026
1230,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1230,1230,1230,1,7.569855608330948,0.00015442381901939917
124,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,124,124,124,2,6.569855608330948,0.00022175670548900026
125,3,3,2.7542670482244616e-06,18.4699001222438,CD,2,"{'CD', 'NNP'}",CD,0,17.954679322829374,125,125,125,3,5.984893107609792,0.0003110066702943455
126,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,126,126,126,2,6.569855608330948,0.00022175670548900026
127,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,127,127,127,2,6.569855608330948,0.00022175670548900026
128,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,128,128,128,2,6.569855608330948,0.00022175670548900026
1289,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1289,1289,1289,1,7.569855608330948,0.00018617451078039714
129,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,129,129,129,2,6.569855608330948,0.00022175670548900026
1296,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1296,1296,1296,1,7.569855608330948,0.00019247026718359895
13,5,2,4.590445080374103e-06,17.732934528077596,CD,1,{'CD'},CD,0,26.239637567217926,13,13,13,5,5.247927513443585,0.0007113238337398137
130,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,130,130,130,2,6.569855608330948,0.00018978336643402712
131,2,3,1.836178032149641e-06,19.054862622964958,VB,2,"{'CD', 'VB'}",VB,0,13.139711216661896,131,131,131,2,6.569855608330948,0.00018978336643402712
132,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,132,132,132,2,6.569855608330948,0.00018978336643402712
133,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,133,133,133,2,6.569855608330948,0.00018978336643402712
134,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,134,134,134,2,6.569855608330948,0.00018978336643402712
135,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,135,135,135,2,6.569855608330948,0.00018978336643402712
136,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,136,136,136,2,6.569855608330948,0.00018978336643402712
137,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,137,137,137,2,6.569855608330948,0.00018978336643402712
138,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,138,138,138,2,6.569855608330948,0.00018978336643402712
139,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,139,139,139,1,7.569855608330948,0.00015563025510548825
14,3,2,2.7542670482244616e-06,18.4699001222438,CD,1,{'CD'},CD,0,13.139711216661896,14,14,14,2,6.569855608330948,0.00023242593018089257
140,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,140,140,140,2,6.569855608330948,0.00029665135958977125
141,3,3,2.7542670482244616e-06,18.4699001222438,NNP,3,"{'CD', 'NNP', 'RB'}",NN,0,13.139711216661896,141,141,141,2,6.569855608330948,0.00045823167460037006
142,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,142,142,142,2,6.569855608330948,0.00029665135958977125
143,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,143,143,143,2,6.569855608330948,0.00038042960243001744
144,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,144,144,144,2,6.569855608330948,0.00038042960243001744
145,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,145,145,145,2,6.569855608330948,0.00038042960243001744
146,2,3,1.836178032149641e-06,19.054862622964958,RB,2,"{'CD', 'RB'}",RB,0,13.139711216661896,146,146,146,2,6.569855608330948,0.00038042960243001744
147,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,147,147,147,1,7.569855608330948,0.0002521604133354746
1473,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1473,1473,1473,1,7.569855608330948,0.0002521604133354746
148,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,148,148,148,2,6.569855608330948,0.00038042960243001744
149,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,149,149,149,2,6.569855608330948,0.00038042960243001744
1492,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1492,1492,1492,1,7.569855608330948,6.304010333386865e-05
15,3,2,2.7542670482244616e-06,18.4699001222438,CD,1,{'CD'},CD,0,17.954679322829374,15,15,15,3,5.984893107609792,0.0004049987731712783
150,3,3,2.7542670482244616e-06,18.4699001222438,CD,2,"{'CD', 'JJ'}",CD,0,17.954679322829374,150,150,150,3,5.984893107609792,0.0004730609253442581
151,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,151,151,151,2,6.569855608330948,0.00038042960243001744
152,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,152,152,152,2,6.569855608330948,0.00038042960243001744
1520,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1520,1520,1520,1,7.569855608330948,2.3842815862959297e-05
1522,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1522,1522,1522,1,7.569855608330948,2.3842815862959297e-05
153,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,153,153,153,1,7.569855608330948,0.0002521604133354746
154,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,154,154,154,2,6.569855608330948,0.00029989306465967136
155,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,155,155,155,1,7.569855608330948,0.00015936538122801995
156,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,156,156,156,1,7.569855608330948,0.00015936538122801995
157,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,157,157,157,2,6.569855608330948,0.00029989306465967136
158,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,158,158,158,2,6.569855608330948,0.00029989306465967136
159,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,159,159,159,2,6.569855608330948,0.00029989306465967136
16,2,2,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,16,16,16,2,6.569855608330948,0.0002117328198204688
160,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,160,160,160,2,6.569855608330948,0.00023176731022277026
161,2,3,1.836178032149641e-06,19.054862622964958,VBP,2,"{'CD', 'VBP'}",VB,0,13.139711216661896,161,161,161,2,6.569855608330948,0.0002739134845991438
1612,2,4,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,1612,1612,1612,2,6.569855608330948,0.00020785736907487647
162,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,162,162,162,2,6.569855608330948,0.0002739134845991438
163,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,163,163,163,2,6.569855608330948,0.0002739134845991438
1637,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1637,1637,1637,1,7.569855608330948,0.00012769661957373393
164,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,164,164,164,2,6.569855608330948,0.0002739134845991438
165,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,165,165,165,2,6.569855608330948,0.0002739134845991438
166,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,166,166,166,2,6.569855608330948,0.0002739134845991438
167,2,3,1.836178032149641e-06,19.054862622964958,RB,2,"{'CD', 'RB'}",RB,0,13.139711216661896,167,167,167,2,6.569855608330948,0.0002739134845991438
168,2,3,1.836178032149641e-06,19.054862622964958,VBD,2,"{'VBD', 'CD'}",VB,0,13.139711216661896,168,168,168,2,6.569855608330948,0.0002739134845991438
1689,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1689,1689,1689,1,7.569855608330948,0.0001464755342169301
169,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,169,169,169,2,6.569855608330948,0.0002739134845991438
1697,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1697,1697,1697,1,7.569855608330948,0.00010163608496684945
17,3,2,2.7542670482244616e-06,18.4699001222438,CD,1,{'CD'},CD,0,17.954679322829374,17,17,17,3,5.984893107609792,0.00041344087667141705
170,3,3,2.7542670482244616e-06,18.4699001222438,CD,2,"{'CD', 'NNP'}",CD,0,17.954679322829374,170,170,170,3,5.984893107609792,0.0003346585697748057
1709,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1709,1709,1709,1,7.569855608330948,0.00023574760536689343
171,2,3,1.836178032149641e-06,19.054862622964958,VBZ,2,"{'CD', 'VBZ'}",VB,0,13.139711216661896,171,171,171,2,6.569855608330948,0.0002739134845991438
172,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,172,172,172,1,7.569855608330948,0.0002490084081687812
1722,2,4,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,1722,1722,1722,2,6.569855608330948,0.00025525404540013575
173,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'PDT'}",CD,0,13.139711216661896,173,173,173,2,6.569855608330948,0.0003517144062767471
174,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,174,174,174,1,7.569855608330948,0.0002490084081687812
1741,2,4,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1741,1741,1741,1,7.569855608330948,0.0002032721699336989
1749,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1749,1749,1749,1,7.569855608330948,9.837369211606169e-05
175,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,175,175,175,1,7.569855608330948,0.0002490084081687812
176,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,176,176,176,2,6.569855608330948,0.0003517144062767471
1768,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1768,1768,1768,1,7.569855608330948,0.00010163608496684945
177,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,177,177,177,2,6.569855608330948,0.0003517144062767471
178,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,178,178,178,2,6.569855608330948,0.0003517144062767471
179,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,179,179,179,1,7.569855608330948,0.0002490084081687812
1792,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1792,1792,1792,1,7.569855608330948,0.00013833800453821174
18,2,2,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,18,18,18,2,6.569855608330948,0.00031453323593243123
180,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,180,180,180,2,6.569855608330948,0.0003517144062767471
181,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,181,181,181,1,7.569855608330948,0.0002490084081687812
182,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,182,182,182,2,6.569855608330948,0.0003480826153116929
183,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,183,183,183,1,7.569855608330948,0.00023574760536689343
184,2,3,1.836178032149641e-06,19.054862622964958,IN,2,"{'CD', 'IN'}",IN,0,13.139711216661896,184,184,184,2,6.569855608330948,0.0003480826153116929
185,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,185,185,185,1,7.569855608330948,0.00023574760536689343
186,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,186,186,186,2,6.569855608330948,0.0003480826153116929
187,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,187,187,187,2,6.569855608330948,0.0003480826153116929
1875,2,4,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,1875,1875,1875,2,6.569855608330948,0.00041771503658295545
188,2,3,1.836178032149641e-06,19.054862622964958,VBZ,2,"{'CD', 'VBZ'}",VB,0,13.139711216661896,188,188,188,2,6.569855608330948,0.0003480826153116929
189,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,189,189,189,2,6.569855608330948,0.0003480826153116929
19,3,2,2.7542670482244616e-06,18.4699001222438,CD,1,{'CD'},CD,0,13.139711216661896,19,19,19,2,6.569855608330948,0.00023242593018089257
190,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,190,190,190,2,6.569855608330948,0.0003480826153116929
191,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,191,191,191,2,6.569855608330948,0.0003480826153116929
192,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,192,192,192,2,6.569855608330948,0.0003480826153116929
193,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,193,193,193,1,7.569855608330948,0.00018192395117353876
194,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,194,194,194,2,6.569855608330948,0.00030136922279018827
1945,3,4,2.7542670482244616e-06,18.4699001222438,CD,1,{'CD'},CD,0,17.954679322829374,1945,1945,1945,3,5.984893107609792,0.0004485691160503233
195,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,195,195,195,2,6.569855608330948,0.00030136922279018827
196,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,196,196,196,1,7.569855608330948,0.00018192395117353876
1960,2,4,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,1960,1960,1960,1,7.569855608330948,0.0002929510684338602
197,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,197,197,197,2,6.569855608330948,0.00030136922279018827
198,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,198,198,198,2,6.569855608330948,0.00030136922279018827
1981,3,4,2.7542670482244616e-06,18.4699001222438,CD,1,{'CD'},CD,0,13.139711216661896,1981,1981,1981,2,6.569855608330948,0.0003562519308699326
199,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,199,199,199,2,6.569855608330948,0.00030136922279018827
1mperio,1,7,9.180890160748206e-07,20.054862622964958,NNS,1,{'NNS'},NN,0,7.569855608330948,1mperio,1mperio,1mperio,1,7.569855608330948,0.00013833800453821174
1ve,1,3,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,1ve,1ve,1ve,1,7.569855608330948,0.00015747567315021734
2,17,1,1.560751327327195e-05,15.967399781714619,CD,3,"{'CD', 'VB', 'JJ'}",CD,0,36.55884486664758,2,2,2,8,4.569855608330948,0.0010646006719731427
20,2,2,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,20,20,20,2,6.569855608330948,0.0002117328198204688
200,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,200,200,200,2,6.569855608330948,0.00030136922279018827
201,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,201,201,201,1,7.569855608330948,0.00018192395117353876
202,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,202,202,202,2,6.569855608330948,0.00030136922279018827
203,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,203,203,203,2,6.569855608330948,0.00030136922279018827
204,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,204,204,204,2,6.569855608330948,0.00030136922279018827
205,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,205,205,205,2,6.569855608330948,0.0001785843770831094
206,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,206,206,206,1,7.569855608330948,0.00018192395117353876
207,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,207,207,207,1,7.569855608330948,0.00018192395117353876
208,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,208,208,208,2,6.569855608330948,0.0001785843770831094
209,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,209,209,209,2,6.569855608330948,0.00013152063411769348
20th,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,20th,20th,20th,1,7.569855608330948,0.00019247026718359895
21,4,2,3.672356064299282e-06,18.054862622964958,CD,3,"{'FW', 'CD', 'NNP'}",CD,0,17.954679322829374,21,21,21,3,5.984893107609792,0.00035892497518691055
210,2,3,1.836178032149641e-06,19.054862622964958,VB,2,"{'CD', 'VB'}",VB,0,13.139711216661896,210,210,210,2,6.569855608330948,0.00013152063411769348
211,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,211,211,211,2,6.569855608330948,0.00013152063411769348
2116,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,2116,2116,2116,1,7.569855608330948,2.3842815862959297e-05
212,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,212,212,212,1,7.569855608330948,0.00012769661957373393
213,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,213,213,213,2,6.569855608330948,0.00013152063411769348
214,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,214,214,214,2,6.569855608330948,0.00013152063411769348
215,2,3,1.836178032149641e-06,19.054862622964958,IN,2,"{'CD', 'IN'}",IN,0,13.139711216661896,215,215,215,2,6.569855608330948,0.00013152063411769348
216,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,216,216,216,2,6.569855608330948,0.00013152063411769348
217,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,217,217,217,2,6.569855608330948,0.00013152063411769348
218,2,3,1.836178032149641e-06,19.054862622964958,VBN,2,"{'VBN', 'CD'}",VB,0,13.139711216661896,218,218,218,2,6.569855608330948,0.00013152063411769348
219,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,219,219,219,1,7.569855608330948,0.00012769661957373393
21l,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,21l,21l,21l,1,7.569855608330948,2.3842815862959297e-05
22,2,2,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,22,22,22,2,6.569855608330948,0.00039207568278718533
220,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,220,220,220,2,6.569855608330948,0.00013152063411769348
221,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,221,221,221,2,6.569855608330948,0.00013152063411769348
222,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,222,222,222,2,6.569855608330948,0.00013152063411769348
223,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,223,223,223,1,7.569855608330948,0.00012769661957373393
224,2,3,1.836178032149641e-06,19.054862622964958,CD,1,{'CD'},CD,0,13.139711216661896,224,224,224,2,6.569855608330948,0.00013152063411769348
225,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,225,225,225,2,6.569855608330948,0.00013152063411769348
226,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,226,226,226,1,7.569855608330948,0.00012769661957373393
