term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,max_pos_group,stop,dfidf,stem_porter,stem_snowball,stem_lancaster,df,idf,mean_tfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
accusing,10,8,9.180890160748207e-06,16.732934528077596,VBG,1,{'VBG'},VB,0,42.47927513443585,accus,accus,accus,10,4.247927513443585,0.0007527966507402723,1,0,0,1,0,1,0,0,0,0,-1
ache,6,4,5.508534096448923e-06,17.4699001222438,NN,3,"{'NN', 'IN', 'VB'}",NN,0,29.90935864565875,ach,ach,ach,6,4.984893107609792,0.0005672691029338832,0,0,0,0,0,1,0,1,0,0,-1
achieve,8,7,7.344712128598564e-06,17.054862622964958,VB,2,"{'VBP', 'VB'}",VB,0,36.55884486664758,achiev,achiev,achiev,8,4.569855608330948,0.0007897534922246006,0,0,0,0,1,0,1,0,0,1,1
achievement,7,11,6.426623112523744e-06,17.247507700907352,NN,1,{'NN'},NN,0,29.90935864565875,achiev,achiev,achiev,6,4.984893107609792,0.000628680045384938,0,1,0,0,1,0,1,0,0,1,1
aching,22,6,2.0197958353646054e-05,15.59543100432766,VBG,5,"{'RB', 'NN', 'IN', 'JJ', 'VBG'}",VB,0,61.19875092399543,ach,ach,ach,18,3.3999306068886352,0.001376011814773826,0,0,0,0,0,1,0,1,0,0,-1
adder,1,5,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,adder,adder,ad,1,7.569855608330948,0.00014078213889401055,1,0,1,1,0,1,0,1,0,0,-1
admirable,6,9,5.508534096448923e-06,17.4699001222438,JJ,2,"{'NN', 'JJ'}",JJ,0,29.90935864565875,admir,admir,admir,6,4.984893107609792,0.000680003002784638,0,0,0,0,1,0,1,0,0,1,1
admiration,11,10,1.0098979176823027e-05,16.59543100432766,NN,2,"{'NN', 'JJ'}",NN,0,45.214663886630156,admir,admir,admir,11,4.1104239896936505,0.0007360666038261582,0,0,0,0,1,0,1,0,0,1,1
admire,6,6,5.508534096448923e-06,17.4699001222438,VB,1,{'VB'},VB,0,29.90935864565875,admir,admir,admir,6,4.984893107609792,0.0005687414997335954,0,0,0,0,0,0,1,0,0,1,1
adoration,2,9,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,ador,ador,ad,2,6.569855608330948,0.00036590674510336664,0,0,0,0,1,0,1,0,0,1,1
advance,4,7,3.672356064299282e-06,18.054862622964958,NNP,4,"{'NN', 'JJ', 'NNP', 'VB'}",NN,0,22.27942243332379,advanc,advanc,adv,4,5.569855608330948,0.0004599358456285075,0,1,0,1,1,0,1,0,1,0,1
adventure,17,9,1.560751327327195e-05,15.967399781714619,NN,3,"{'NN', 'IN', 'VB'}",NN,0,54.944475190836435,adventur,adventur,adv,15,3.662965012722429,0.0014185326207404303,0,1,0,0,0,0,1,0,0,0,1
adversary,1,9,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,adversari,adversari,advers,1,7.569855608330948,0.0001520662034618511,1,0,0,0,0,1,0,0,0,0,-1
advisable,5,9,4.590445080374103e-06,17.732934528077596,JJ,2,"{'NN', 'JJ'}",JJ,0,26.239637567217926,advis,advis,adv,5,5.247927513443585,0.0004926227270930527,0,0,0,0,0,0,1,0,0,1,1
advise,11,6,1.0098979176823027e-05,16.59543100432766,VB,3,"{'NN', 'VBP', 'VB'}",VB,0,36.55884486664758,advis,advis,adv,8,4.569855608330948,0.0007947396375978798,0,0,0,0,0,0,1,0,0,1,1
affection,10,9,9.180890160748207e-06,16.732934528077596,NN,1,{'NN'},NN,0,42.47927513443585,affect,affect,affect,10,4.247927513443585,0.0008536026331130001,0,0,0,0,1,0,1,0,0,1,1
affliction,2,10,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,afflict,afflict,afflict,2,6.569855608330948,0.00023976520929141655,0,0,1,1,0,1,0,1,0,0,-1
afraid,125,6,0.00011476112700935257,13.08907833830287,JJ,10,"{'RB', 'NN', 'POS', 'VBD', 'VBN', 'IN', 'VB', 'VBP', 'JJ', 'PDT'}",JJ,0,98.0413537859531,afraid,afraid,afraid,87,1.1269121124822197,0.0029286795218938086,0,0,0,1,0,1,0,0,0,0,-1
aftermath,8,9,7.344712128598564e-06,17.054862622964958,NN,1,{'NN'},NN,0,36.55884486664758,aftermath,aftermath,afterma,8,4.569855608330948,0.0006116837055670465,1,0,1,1,0,1,0,1,0,0,-1
aggravated,3,10,2.7542670482244616e-06,18.4699001222438,VBN,3,"{'NN', 'VBN', 'JJ'}",VB,0,17.954679322829374,aggrav,aggrav,aggrav,3,5.984893107609792,0.000377558386124171,1,0,0,0,0,1,0,0,0,0,-1
aggravating,2,11,1.836178032149641e-06,19.054862622964958,VBG,1,{'VBG'},VB,0,13.139711216661896,aggrav,aggrav,aggrav,2,6.569855608330948,0.00010148326786572319,1,0,0,0,0,1,0,1,0,0,-1
aggression,3,10,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,aggress,aggress,aggress,3,5.984893107609792,0.0003410317402107983,1,0,0,1,0,1,0,0,0,0,-1
aggressive,6,10,5.508534096448923e-06,17.4699001222438,JJ,2,"{'NNS', 'JJ'}",JJ,0,26.239637567217926,aggress,aggress,aggress,5,5.247927513443585,0.0007086791514883118,1,0,0,1,0,1,0,0,0,0,-1
aghast,15,6,1.3771335241122308e-05,16.147972027356438,NN,4,"{'NN', 'RB', 'VBP', 'RP'}",NN,0,52.67500960782681,aghast,aghast,aghast,14,3.7625006862733437,0.0010484381981480462,0,0,1,1,0,1,0,0,1,0,-1
agitated,15,8,1.3771335241122308e-05,16.147972027356438,JJ,5,"{'NNS', 'RB', 'NN', 'VBN', 'JJ'}",JJ,0,52.67500960782681,agit,agit,agit,14,3.7625006862733437,0.001075335583206752,1,0,0,0,0,1,0,0,0,0,-1
agitation,3,9,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,agit,agit,agit,3,5.984893107609792,0.00025850794637178795,1,0,0,0,0,1,0,0,0,0,-1
agonizing,2,9,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,agon,agon,agon,2,6.569855608330948,0.0002722734124689176,0,0,0,1,0,1,0,0,0,0,-1
agony,25,5,2.2952225401870515e-05,15.411006433190233,NN,4,"{'NN', 'RB', 'IN', 'JJ'}",NN,0,66.72830189659594,agoni,agoni,agony,21,3.1775381855521876,0.0015638069498034297,1,0,0,1,0,1,0,1,0,0,-1
agreeable,2,9,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,agreeabl,agreeabl,agr,2,6.569855608330948,0.00027355476595696817,0,0,0,0,0,0,1,0,0,1,1
agreed,76,6,6.977476522168636e-05,13.806935109521373,VBD,5,"{'NN', 'VBD', 'VBN', 'VBZ', 'VBP'}",VB,0,99.2887275657958,agre,agre,agree,58,1.7118746132033758,0.002621761072128314,0,0,0,0,0,0,1,0,0,1,1
agreeing,6,8,5.508534096448923e-06,17.4699001222438,VBG,1,{'VBG'},VB,0,29.90935864565875,agre,agre,agr,6,4.984893107609792,0.0005726179433110387,0,0,0,0,0,0,1,0,0,1,1
agreement,12,9,1.1017068192897846e-05,16.4699001222438,NN,1,{'NN'},NN,0,39.599375461997724,agreement,agreement,agr,9,4.399930606888636,0.0010981563692894377,0,0,0,0,0,0,1,0,0,1,1
ail,1,3,9.180890160748206e-07,20.054862622964958,VBG,1,{'VBG'},VB,0,7.569855608330948,ail,ail,ail,1,7.569855608330948,0.00018445067271761567,0,0,0,0,0,1,0,1,0,0,-1
ailing,1,6,9.180890160748206e-07,20.054862622964958,VBG,1,{'VBG'},VB,0,7.569855608330948,ail,ail,ail,1,7.569855608330948,0.00012109831400305468,0,0,0,1,0,1,0,1,0,0,-1
alarm,39,5,3.5805471626918e-05,14.769460404102709,NN,2,"{'NN', 'JJ'}",NN,0,84.40135408074069,alarm,alarm,alarm,34,2.4823927670806083,0.0018978893734107392,0,0,0,1,0,1,0,0,1,0,-1
alarming,13,8,1.1935157208972667e-05,16.354422904823867,VBG,2,"{'VBG', 'JJ'}",VB,0,47.8187172913175,alarm,alarm,alarm,12,3.9848931076097918,0.0009453128163145738,0,0,0,1,0,1,0,0,1,0,-1
alien,1,5,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,alien,alien,aly,1,7.569855608330948,0.00017946551940092336,0,0,1,1,0,1,0,0,0,0,-1
alive,140,5,0.00012853246225047487,12.92557960601999,JJ,12,"{'NNS', 'RB', 'NN', 'VBD', 'VBN', 'VBZ', 'VB', 'IN', 'VBP', 'JJ', 'NNP', 'RP'}",JJ,0,99.40889550445485,aliv,aliv,al,82,1.212303603712864,0.0032720784632484803,0,1,0,0,1,0,1,0,0,1,1
allegiance,8,10,7.344712128598564e-06,17.054862622964958,NN,1,{'NN'},NN,0,36.55884486664758,allegi,allegi,allegy,8,4.569855608330948,0.0006602742885193809,0,0,0,0,0,0,1,0,0,1,1
ally,6,4,5.508534096448923e-06,17.4699001222438,RB,4,"{'NN', 'RB', 'VB', 'JJ'}",RB,0,26.239637567217926,alli,alli,al,5,5.247927513443585,0.000688484841579959,0,0,0,0,0,0,1,0,0,1,1
amazingly,1,9,9.180890160748206e-07,20.054862622964958,RB,1,{'RB'},RB,0,7.569855608330948,amazingli,amaz,amaz,1,7.569855608330948,0.0002032721699336989,0,0,0,0,1,0,1,0,1,0,1
ambition,21,8,1.9279869337571232e-05,15.662545200186198,NN,1,{'NN'},NN,0,61.19875092399543,ambit,ambit,ambit,18,3.3999306068886352,0.001450619211653293,0,1,0,0,1,0,1,0,0,1,1
ambush,5,6,4.590445080374103e-06,17.732934528077596,VB,3,"{'NN', 'VBZ', 'VB'}",VB,0,26.239637567217926,ambush,ambush,ambush,5,5.247927513443585,0.0005072434365112925,1,0,0,1,0,1,0,0,1,0,-1
amuse,3,5,2.7542670482244616e-06,18.4699001222438,VB,2,"{'IN', 'VB'}",VB,0,17.954679322829374,amus,amus,amus,3,5.984893107609792,0.0004140966511636943,0,0,0,0,1,0,1,0,0,0,1
amused,31,6,2.846075949831944e-05,15.100666312578083,JJ,5,"{'RB', 'NN', 'VBN', 'VBD', 'JJ'}",JJ,0,76.00413886652194,amus,amus,amus,27,2.814968106167479,0.001634457027390012,0,0,0,0,1,0,1,0,0,0,1
amusement,12,9,1.1017068192897846e-05,16.4699001222438,NN,1,{'NN'},NN,0,42.47927513443585,amus,amus,amus,10,4.247927513443585,0.0010187354715625648,0,0,0,0,1,0,1,0,0,0,1
amusing,26,7,2.3870314417945334e-05,15.354422904823865,JJ,7,"{'NNS', 'RB', 'NN', 'VB', 'JJ', 'VBG', 'NNP'}",JJ,0,66.72830189659594,amus,amus,amus,21,3.1775381855521876,0.001608205857989411,0,0,0,0,1,0,1,0,0,0,1
angel,5,5,4.590445080374103e-06,17.732934528077596,NN,2,"{'NN', 'JJ'}",NN,0,17.954679322829374,angel,angel,angel,3,5.984893107609792,0.0009046683703289856,0,1,0,0,1,0,1,0,1,1,1
anger,102,5,9.36450796396317e-05,13.382437280993463,NN,7,"{'NN', 'JJR', 'IN', 'VB', 'JJ', 'NNP', 'RP'}",NN,0,100.79500369598175,anger,anger,ang,72,1.3999306068886355,0.0028938097441244454,1,0,0,0,0,1,0,0,0,0,-1
angling,1,7,9.180890160748206e-07,20.054862622964958,VBG,1,{'VBG'},VB,0,7.569855608330948,angl,angl,angl,1,7.569855608330948,0.00014280052081363796,0,1,0,0,0,1,0,0,0,0,-1
angry,186,5,0.00017076455698991663,12.515703811856927,JJ,11,"{'NNS', 'RB', 'NN', 'VBN', 'IN', 'VB', 'VBZ', 'VBP', 'JJ', 'NNP', 'RP'}",JJ,0,86.07381135987346,angri,angri,angry,111,0.775439741980842,0.003043732777120704,1,0,1,0,0,1,0,0,0,0,-1
anguish,5,7,4.590445080374103e-06,17.732934528077596,NN,2,"{'NN', 'JJ'}",NN,0,26.239637567217926,anguish,anguish,anct,5,5.247927513443585,0.0004710388311296949,1,0,0,1,0,1,0,1,0,0,-1
animated,2,8,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,anim,anim,anim,2,6.569855608330948,0.00018497471223229467,0,0,0,0,1,0,1,0,0,0,1
animosity,2,9,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,animos,animos,animos,2,6.569855608330948,0.0002925715618016637,1,0,1,1,0,1,0,1,0,0,-1
annoy,12,5,1.1017068192897846e-05,16.4699001222438,VB,3,"{'VBP', 'VB', 'JJ'}",VB,0,47.8187172913175,annoy,annoy,annoy,12,3.9848931076097918,0.0010239049466843314,1,0,1,0,0,1,0,0,0,0,-1
annoyance,12,9,1.1017068192897846e-05,16.4699001222438,NN,1,{'NN'},NN,0,42.47927513443585,annoy,annoy,annoy,10,4.247927513443585,0.0011380810803245523,1,0,1,0,0,1,0,0,0,0,-1
annoying,12,8,1.1017068192897846e-05,16.4699001222438,VBG,3,"{'NN', 'VBG', 'JJ'}",VB,0,47.8187172913175,annoy,annoy,annoy,12,3.9848931076097918,0.0010733423831324306,1,0,0,0,0,1,0,0,0,0,-1
anomaly,1,7,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,anomali,anomali,anoma,1,7.569855608330948,0.00012036660213596673,0,0,0,1,0,1,0,0,1,0,-1
antidote,20,8,1.8361780321496413e-05,15.732934528077596,NN,3,"{'NN', 'RB', 'JJ'}",NN,0,50.30240657246812,antidot,antidot,antidot,13,3.8694158901898557,0.0014629780314100026,0,1,0,0,0,0,1,0,0,1,1
anxiety,13,7,1.1935157208972667e-05,16.354422904823867,NN,1,{'NN'},NN,0,50.30240657246812,anxieti,anxieti,anxy,13,3.8694158901898557,0.0008405884630079373,1,1,0,1,0,1,0,1,0,0,-1
anxious,71,7,6.518432014131225e-05,13.905115503460276,JJ,4,"{'NN', 'NNS', 'IN', 'JJ'}",JJ,0,98.36727421434585,anxiou,anxious,anxy,55,1.7884958948062883,0.002401823374311478,0,1,0,1,0,1,0,0,0,0,-1
apathetic,1,9,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,apathet,apathet,apathet,1,7.569855608330948,0.00015148800496960074,0,0,0,0,0,1,0,1,0,0,-1
apologetic,4,10,3.672356064299282e-06,18.054862622964958,JJ,2,"{'NN', 'JJ'}",JJ,0,22.27942243332379,apologet,apologet,apologet,4,5.569855608330948,0.00034058902704756533,0,0,0,0,0,0,1,0,0,1,1
apologize,9,9,8.262801144673386e-06,16.884937621522646,VB,3,"{'NN', 'VBP', 'VB'}",VB,0,36.55884486664758,apolog,apolog,apolog,8,4.569855608330948,0.0006465039058193894,0,0,0,0,0,0,1,1,0,1,1
appalling,3,9,2.7542670482244616e-06,18.4699001222438,JJ,2,"{'VBG', 'JJ'}",JJ,0,17.954679322829374,appal,appal,appal,3,5.984893107609792,0.0003238641494901876,0,0,1,1,0,1,0,0,0,0,-1
apparition,39,10,3.5805471626918e-05,14.769460404102709,NNP,2,"{'NN', 'NNP'}",NN,0,57.117689733295165,apparit,apparit,apparit,16,3.569855608330948,0.0033951127873876595,0,0,0,1,0,0,0,0,1,0,0
applause,57,8,5.2331073916264776e-05,14.221972608800217,NN,6,"{'NNS', 'RB', 'NN', 'IN', 'JJ', 'PDT'}",NN,0,82.23537946659033,applaus,applaus,applaus,32,2.569855608330948,0.002498020731374072,0,0,0,0,1,0,1,0,1,1,1
appreciation,3,12,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,appreci,appreci,apprecy,3,5.984893107609792,0.0003365551977748194,0,0,0,0,1,0,1,0,0,1,1
apprehension,7,12,6.426623112523744e-06,17.247507700907352,NN,2,"{'NN', 'NNS'}",NN,0,33.33750480391341,apprehens,apprehens,apprehend,7,4.762500686273344,0.0006242089479634333,0,0,0,1,0,1,0,0,0,0,-1
apprehensive,17,12,1.560751327327195e-05,15.967399781714619,JJ,2,"{'NN', 'JJ'}",JJ,0,59.200677040370344,apprehens,apprehens,apprehend,17,3.4823927670806083,0.0011915648837411874,0,1,0,1,0,1,0,0,0,0,-1
approve,9,7,8.262801144673386e-06,16.884937621522646,VB,2,"{'VBP', 'VB'}",VB,0,39.599375461997724,approv,approv,approv,9,4.399930606888636,0.0008964918859497998,0,0,0,0,1,0,1,0,0,1,1
argue,32,5,2.9378848514394258e-05,15.054862622964958,VB,2,"{'NN', 'VB'}",VB,0,77.35001921565362,argu,argu,argu,28,2.7625006862733437,0.001991824533086339,1,0,0,0,0,1,0,0,0,0,-1
argument,35,8,3.213311556261872e-05,14.92557960601999,NN,3,"{'NN', 'NNS', 'VBZ'}",NN,0,79.88895038167287,argument,argument,argu,30,2.662965012722429,0.0020723367951159385,1,0,0,0,0,1,0,0,0,0,-1
armed,19,5,1.744369130542159e-05,15.806935109521373,VBN,7,"{'NN', 'VBD', 'VBN', 'IN', 'VB', 'JJ', 'VBG'}",VB,0,54.944475190836435,arm,arm,arm,15,3.662965012722429,0.001542547128474235,1,0,0,1,0,1,1,0,0,0,0
armor,44,5,4.039591670729211e-05,14.59543100432766,NN,5,"{'NN', 'IN', 'VBZ', 'VB', 'VBP'}",NN,0,78.6443637828979,armor,armor,arm,29,2.711874613203376,0.0023595401621143114,0,0,0,1,0,0,1,0,0,1,1
arrogant,18,8,1.6525602289346772e-05,15.884937621522646,JJ,2,"{'NN', 'JJ'}",JJ,0,57.117689733295165,arrog,arrog,arrog,16,3.569855608330948,0.001138139159875437,1,0,1,0,0,1,0,0,0,0,-1
art,12,3,1.1017068192897846e-05,16.4699001222438,NNP,3,"{'NN', 'NNP', 'RP'}",NN,0,42.47927513443585,art,art,art,10,4.247927513443585,0.0009499780658775289,0,1,0,0,1,0,1,1,1,0,1
ashamed,41,7,3.7641649659067645e-05,14.697310618346874,VBN,7,"{'RB', 'NN', 'VBD', 'VBN', 'IN', 'VB', 'JJ'}",VB,0,76.00413886652194,asham,asham,asham,27,2.814968106167479,0.0022509503053303823,0,0,1,0,0,1,0,1,0,0,-1
ashes,8,5,7.344712128598564e-06,17.054862622964958,NN,3,"{'NN', 'NNS', 'JJ'}",NN,0,29.90935864565875,ash,ash,ash,6,4.984893107609792,0.0005685935415234225,0,0,0,0,0,1,0,1,0,0,-1
aspiring,1,8,9.180890160748206e-07,20.054862622964958,VBG,1,{'VBG'},VB,0,7.569855608330948,aspir,aspir,aspir,1,7.569855608330948,0.0001138324151628714,0,1,0,0,1,0,1,0,0,1,1
assassination,1,13,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,assassin,assassin,assassin,1,7.569855608330948,0.00022509234636725983,1,0,0,1,0,1,0,1,0,0,-1
assault,3,7,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,assault,assault,assault,3,5.984893107609792,0.00027935242049143856,1,0,0,1,0,1,0,0,0,0,-1
assembly,2,8,1.836178032149641e-06,19.054862622964958,NNP,2,"{'NN', 'NNP'}",NN,0,13.139711216661896,assembl,assembl,assembl,2,6.569855608330948,0.00021629263686545345,0,0,0,0,0,0,1,0,0,1,1
assist,10,6,9.180890160748207e-06,16.732934528077596,VB,2,"{'VB', 'JJ'}",VB,0,36.55884486664758,assist,assist,assist,8,4.569855608330948,0.0009613005623678266,0,0,0,0,0,0,1,0,0,1,1
associate,4,9,3.672356064299282e-06,18.054862622964958,VB,1,{'VB'},VB,0,22.27942243332379,associ,associ,assocy,4,5.569855608330948,0.00037491909058821486,0,0,0,0,0,0,1,0,0,1,1
assurance,1,9,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,assur,assur,ass,1,7.569855608330948,0.00019821564829355717,0,0,0,0,0,0,1,0,0,1,1
assured,26,7,2.3870314417945334e-05,15.354422904823865,VBD,4,"{'NN', 'VBD', 'VBN', 'JJ'}",VB,0,68.42932777326031,assur,assur,ass,22,3.1104239896936505,0.0016117348091427078,0,0,0,0,0,0,1,0,0,1,1
astonishingly,4,13,3.672356064299282e-06,18.054862622964958,RB,1,{'RB'},RB,0,22.27942243332379,astonishingli,astonish,aston,4,5.569855608330948,0.00040792213218456707,0,0,0,0,0,0,1,0,1,0,1
astonishment,18,12,1.6525602289346772e-05,15.884937621522646,NN,1,{'NN'},NN,0,57.117689733295165,astonish,astonish,aston,16,3.569855608330948,0.0012010852886642004,0,0,0,0,1,0,1,0,1,0,1
astray,3,6,2.7542670482244616e-06,18.4699001222438,JJ,2,"{'RB', 'JJ'}",JJ,0,17.954679322829374,astray,astray,astray,3,5.984893107609792,0.000337917860784307,0,0,0,1,0,1,0,0,0,0,-1
asylum,3,6,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,7.569855608330948,asylum,asylum,asyl,1,7.569855608330948,0.0006640224217834165,0,0,0,1,0,1,0,0,0,0,-1
atrocity,1,8,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,atroc,atroc,atroc,1,7.569855608330948,0.00012893639257930418,1,0,1,1,0,1,0,1,0,0,-1
attack,129,6,0.00011843348307365185,13.043635367541704,NN,6,"{'NN', 'VB', 'VBP', 'JJ', 'NNP', 'RP'}",NN,0,100.82770270666488,attack,attack,attack,71,1.4201084888262658,0.003346960491960933,1,0,0,1,0,1,0,0,0,0,-1
attacking,31,9,2.846075949831944e-05,15.100666312578083,VBG,4,"{'NN', 'VBG', 'NNP', 'NNS'}",VB,0,74.60481314493624,attack,attack,attack,26,2.8694158901898557,0.001635501527908739,1,0,1,1,0,1,0,1,1,0,-1
attendant,1,9,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,attend,attend,attend,1,7.569855608330948,0.00022134080726113884,0,0,0,0,0,0,1,0,0,1,1
attentive,1,9,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,attent,attent,at,1,7.569855608330948,0.00013833800453821174,0,0,0,0,0,0,1,0,0,1,1
attest,1,6,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,attest,attest,attest,1,7.569855608330948,0.00017707264580891108,0,0,0,0,0,0,1,0,0,1,1
aunt,341,4,0.0003130683544815138,11.641234693940785,NNP,4,"{'NN', 'NNS', 'IN', 'NNP'}",NN,0,98.70003843130725,aunt,aunt,aunt,56,1.7625006862733437,0.01640520059404491,0,0,0,0,0,0,1,0,0,1,1
